operating_income,cal_date,people_cost,site_cost,other_cost,headquarter_cost,operating_people,sales_people,average_performance,admission_student,performance,income,predicted_income
-6075.7,1,56642.41,37817.72,3915.44,0.0,12.0,3.0,-506.3083,4.0,-13895.7,6890.0,-270313.4903400342
27060.0,2,46283.76,37817.72,2822.4622,10397.6884,5.0,4.0,5412.0,2.0,26548.0,30060.0,-174587.02959272158
56268.0,3,53996.7,37817.81,14657.8731,9620.8993,14.0,3.0,4019.1429,28.0,35820.0,35820.0,-16489.71866948445
64781.0,4,60422.14,37817.72,4181.7582,17575.4478,14.0,5.0,4627.2143,11.0,111316.0,111816.0,-45890.6284032282
82568.0,5,53511.72,37817.72,5491.5442,20389.7472,16.0,4.0,5160.5,12.0,75918.0,75918.0,-95531.03983429512
143190.0,6,67798.34,40421.72,53566.445,30324.7174,15.0,4.0,9546.0,14.0,152397.0,155848.0,-99625.97841567088
127747.0,7,63617.02,38251.73,5046.0035,38143.2174,16.0,5.0,7984.1875,16.0,119540.0,133720.0,24758.836005437304
75780.0,8,64408.36,38251.72,16564.4077,16493.4928,16.0,4.0,4736.25,8.0,92460.0,99960.0,-168991.8290408672
93155.0,9,62860.51,38251.72,8900.9461,13497.5119,17.0,5.0,5479.7059,11.0,94160.0,94160.0,-69578.14694095126
2030.0,10,56956.75,38251.72,2818.172,531.685,20.0,6.0,101.5,2.0,5530.0,12530.0,-156049.45486606995
54921.3,11,58905.12,38251.72,2162.4147,14984.9753,16.0,4.0,3432.5813,4.0,42161.3,45380.0,-218536.44954521512
20140.0,12,59949.98,38672.72,57556.2546,129360.511,33.0,16.0,610.303,7.0,9640.0,20640.0,396576.88653745333
3180.0,13,46925.48,38251.72,125.79,55873.61,12.0,4.0,265.0,2.0,12595.2,26440.0,-280755.27385266364
0.0,14,41906.09,38251.72,0.0,56303.4701,13.0,4.0,0.0,0.0,,,-308823.7044829207
0.0,15,52141.95,0.0,0.0,90868.49,16.0,4.0,0.0,0.0,,,-306330.50243087695
-3664.7,16,41392.94,0.0,0.0,123904.01,14.0,1.0,-261.7643,1.0,2745.0,2745.0,-476463.0935292635
-9500.0,17,34822.44,0.0,0.0,89580.36,13.0,5.0,-730.7692,10.0,21268.0,24448.0,-177824.72497762725
0.0,18,39584.08,0.0,21098.85,-55575.08,16.0,6.0,0.0,3.0,814.7,22616.0,-228051.72067132464
-10860.0,19,31538.52,0.0,2356.0,-57921.38,17.0,6.0,-638.8235,6.0,21779.0,31600.0,-186346.77004040426
-4500.0,20,41430.04,0.0,4680.0,-93739.79,18.0,7.0,-250.0,12.0,84430.0,86930.0,-77445.39305319516
-27122.3,21,45319.02,0.0,39496.84,292716.54,20.0,7.0,-1356.115,8.0,35620.0,49728.0,-143708.7867655767
-99.0,22,40507.49,56805.0,3953.6,1258.36,20.0,7.0,-4.95,0.0,-13338.0,0.0,-190936.7553918083
-500.0,23,38206.79,102894.0,0.0,1199.29,16.0,7.0,-31.25,0.0,6.0,6.0,-194310.5287990174
-26847.0,24,47114.36,0.0,5305.0,1455.22,16.0,7.0,-1677.9375,0.0,99.0,99.0,-220687.62485712013
,25,234806.47111976965,19683.536666666667,6418.006666666667,42160.25834166667,15.916666666666666,5.416666666666667,3713.4612820535544,67.3359392898859,,,430323.5032177041
,26,245450.99681721258,18136.188055555554,6942.358055555556,41017.479036805555,16.243055555555554,5.534722222222222,5079.739383284733,68.09819382075923,,,455645.80556418374
,27,255499.25407121895,16459.893726851853,7520.887893518518,39743.64644820602,16.513310185185183,5.6626157407407405,6503.7806071797495,68.83401238608167,,,481673.69743775384
,28,262930.2578254727,17831.55153742284,8147.628551311728,35483.242818889856,16.556086033950617,5.801167052469135,7943.208964147407,69.44423531085134,,,506150.2866694668
